,0,1
0,muy,sehr
1,ha,Er hat
2,así,So
3,algo,etwas
4,tengo,ich habe
5,él,das
6,cuando,Wenn
7,estás,sind
8,tú,dein
9,nos,uns
10,este,Ost
11,o,entweder
12,he,Er
13,puedo,Kann ich
14,ella,sie
15,quiero,Ich will
16,fue,es war
17,gracias,Danke
18,vez,Zeit
19,era,es war
20,soy,bin
21,sólo,Single
22,todos,alle
23,porque,Weil
24,son,sind
25,tienes,Sie haben
26,creo,Ich finde
27,voy,ich gehe
28,estaba,ich war
29,puede,kann
30,eres,sind
31,ese,das
32,usted,Sie
33,entonces,dann
34,solo,nur
35,verdad,Wahrheit
